author,comment,name,press,price,score,time
['[日]冈岛二人']/['张舟'],完美主义者的最高形态,克莱因壶, 化学工业出版社 , 48.00元,8.9, 2019-9 
八月长安,替天行道,最好的我们, 湖南文艺出版社 , 55,8.7, 2013-8-5 
"[明],施耐庵",现代人内心流失的东西，这家杂货店能帮你找回,水浒传（全二册）, 人民文学出版社 , 50.60元,8.6, 1997-1 
"['[日]', '东野圭吾']/['李盈春']",阿西莫夫经典科幻小说,解忧杂货店, 南海出版公司 , 39.50元,8.5, 2014-5 
"['[美]', '艾萨克·阿西莫夫']/['叶李华']",弭平代沟，跨越文化阻隔,银河帝国：基地七部曲, 江苏凤凰文艺出版社 , 328.00元,9.5, 2015-10-1 
"['[英]', '阿瑟·克拉克']/['郝明义']",阿拉伯地区的古代民间传说,2001：太空漫游, 上海文艺出版社 , 62.00元,9.3, 2019-5-10 
"['[英]', '莎士比亚']/['朱生豪']",硅谷创业之父Paul Graham文集,哈姆莱特, 人民文学出版社 , 7.00元,8.7, 2001-1 
老舍,不到园林，怎知春色如许,骆驼祥子, 人民文学出版社 , 12.00,8.4, 2000-3-1 
刘瑜,三毛在加纳利群岛上的生活,民主的细节, 上海三联书店 , 25.00,8.6, 2009-6 
"['[意]', '伊塔洛·卡尔维诺']/['吴正仪']",他的犯罪动机是对美的嫉妒,不存在的骑士, 译林出版社 , 22.00元,8.9, 2012-4 
"['[美]', 'Paul', 'Graham']/['阮一峰']",探讨群众运动的共有特征,黑客与画家, 人民邮电出版社 , 49.00元,8.7, 2011-4 
江南,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事,九州·缥缈录, 新世界出版社 , 20.00元,8.8, 2005-6 
"['[日]', '岩井俊二']/['穆晓芳']",阿加莎·克里斯蒂代表作,情书, 天津人民出版社 , 18.00元,8.6, 2004-7 
"['[英]', '吉米·哈利']/['种衍伦']",中国人，你为什么不生气,万物有灵且美, 中国城市出版社 , 28.80,8.9, 2010-1 
"['[英]', '阿加莎·克里斯蒂']/['宫英海']",男孩桑桑刻骨铭心、终身难忘的六年小学生活,尼罗河上的惨案, 人民文学出版社 , 22.00元,8.7, 2006-5 
李娟,一场穿越银河的冒险,遥远的向日葵地, 花城出版社 , 38.00元,9.1, 2017-11 
龙应台,人生，远比地狱更像地狱,野火集, 文汇出版社 , 25.00元,8.8, 2005-8 
蘅塘退士,在这里看见中国,唐诗三百首, 中华书局 , 0.65,9.4, 1984-07-01 
柴静,了解IT领域的入门读物,看见, 广西师范大学出版社 , 39.80元,8.8, 2013-1-1 
吴军,萧红的童年往事,浪潮之巅, 电子工业出版社 , 55.00元,9.0, 2011-8 
萧红,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们,呼兰河传, 百花文艺出版社 , 19.00,8.9, 2005-01 
白先勇,中国美学经典之作,孽子, 广西师范大学出版社 , 46.00元,9.1, 2010.10 
"['[挪]', '乔斯坦·贾德']/['萧宝森']",从遥远的撒哈拉到敦煌戈壁,苏菲的世界, 作家出版社 , 26.00元,8.8, 2007-10 
"['[美]', '艾·弗洛姆']/['李健鸣']",白雪和阳光，青草和白桦林,爱的艺术, 上海译文出版社 , 15.00元,8.8, 2008-4 
"['[美]', '沃尔特·艾萨克森']/['管延圻']",少年辛克莱寻找通向自身之路的艰辛历程,史蒂夫·乔布斯传, 中信出版社 , 68.00元,8.7, 2011-10-24 
三毛,三毛在加纳利群岛的生活,万水千山走遍, 哈尔滨出版社 , 13.80,8.8, 2003-08 
龙应台,美国政治法律制度的基本原理和操作细节,亲爱的安德烈, 人民文学出版社 , 26.00,8.6, 2008-12 
纳训,火焰是我们诗歌唯一的读者,一千零一夜, 人民文学出版社 , 22.00,8.7, 2003-01 
林达,20世纪中国知识分子的心灵史,总统是靠不住的, 生活·读书·新知三联书店 , 21.80,8.8, 2004-08 
顾城,“超现实主义”风格作品，德国的《尤利西斯》,顾城的诗, 人民文学出版社 , 20.00,8.8, 1998-12 
"['[日本]', '上野千鹤子']/['吕灵芝']",一个国家只能有一个契约,从零开始的女性主义, 北京联合出版公司 , 52.00元,8.7, 2021-9 
汤显祖,两代人从巨流河到哑口海的故事,牡丹亭, 人民文学出版社 , 14.50元,9.0, 1963-4-1 
曹文轩,世钧，我们回不去了,草房子, 江苏少年儿童出版社 , 18.00元,9.0, 2009-6 
李泽厚,中国历史上首部完整的哲学著作,美的历程, 生活·读书·新知三联书店 , 43.00元,9.2, 2009-7 
黄元吉,王小波与李银河的两地书,道德经, 陕西人民出版社 , 4.50元,9.5, 1996-10 
王小波,家庭生活回忆录,爱你就像爱生命, 上海锦绣文章出版社 , 18.00元,8.8, 2008-5 
杨绛,阿勒泰的精灵,我们仨, 生活·读书·新知三联书店 , 18.80元,8.7, 2003-7 
李娟,五个家族，一场战争,冬牧场, 新星出版社 , 29.80元,9.1, 2012-6 
李娟,真实记录切尔诺贝利核灾难事件,阿勒泰的角落, 万卷出版公司 , 25.00元,9.1, 2010-6 
"['[德]', '赫尔曼·黑塞']/['丁君君']",“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争,德米安, 上海人民出版社 , 25.00元,8.9, 2009-3 
三毛,人间，只是抹去了脂粉的脸,温柔的夜, 北京十月文艺出版社 , 28.00元,9.1, 2007-5 
['米兰·昆德拉']/['许钧'],在法治国家里，民众怎样运用法律,不能承受的生命之轻, 上海译文出版社 , 29.00元,8.8, 2010-8 
"['[日]', '清水洁']/['王华懋']",量子之外，没有真相,桶川跟踪狂杀人事件, 四川人民出版社 , 45.00元,9.0, 2021-2 
"['[英]', '阿加莎·克里斯蒂']/['常禾']",在纷扰中寻出一点闲静,罗杰疑案, 新星出版社 , 28.00元,9.2, 2013-3 
余华,数学好是一种极致的浪漫,许三观卖血记, 作家出版社 , 24.00元,9.0, 2012-9 
鲁迅,一本有教育意义的书,朝花夕拾, 人民文学出版社 , 0.25元,8.9, 1973-4 
"['[日]', '东野圭吾']/['刘子倩']",拾取古代传说，取一点因由，随意点染,嫌疑人X的献身, 南海出版公司 , 28.00,8.9, 2008-9 
